ezloophw-py logger started on:,2023-4-5_103045
ctrl_params:,{'duty_min': -0.8, 'duty_max': 0.8, 'ctrl_period': 200, 'numsteps': 100.0, 'kp': [0.008, 0.008], 'ki': [5e-08, 5e-08], 'kw': [0.0, 0.0], 'setpoint': [0.0, 0.0], 'u_setpoint': [0.0, 0.0], 'supervisor_gamma': [0.2, 0.2], 'temp_constraint': [115.0, 115.0], 'temp_control_mode': 'closeloop', 'trajfilepath': None, 'read_traj': False, 'read_u_traj': True, 'u_trajfilepath': './input_traj/2_limb_control_input/test_sma1_limb1.csv', 'n_limb': 2}
Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
37944005,94.855000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.5,22.13,22.5,34.47714612026681,52.80421930239006,110.65874053133778,69.22939498473606,169.6796588335547,95.907442957185,224.42395208707936,130.50545819136804,282.7693650594636,175.58892765944375,342.1794232788624,225.61730650846837,392.8353491464504,267.4953935083804,433.69116876988534,305.31981525136183,478.4277034953903,344.2781561064359
37944205,95.055000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.63,21.75,22.13,22.5,34.424705867312134,52.79749428255466,110.59857136688093,69.1949666037545,169.66452779552722,95.8639719099467,224.4064177842686,130.4842862373701,282.8388203542503,175.55246133905214,342.17309677842115,225.62334154270434,392.8116030524122,267.56559525361774,433.67099847047103,305.31550392632,478.40412770184054,344.2862683514445
37944408,95.256000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.63,21.75,22.13,22.5,34.60212971519272,52.91344917334853,110.66750691541351,69.31543385974281,169.67892524071073,95.84286179031466,224.3573586991357,130.5279964646403,282.8119996831132,175.61693205808126,342.1822799118469,225.63561844733752,392.8052876643753,267.54458928154,433.62477940155264,305.28416814671016,478.4374985931867,344.18652001832567
37944608,95.459000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.63,21.5,22.13,22.5,34.449011907359214,52.79802196711942,110.63597701906326,69.19955057864324,169.65810346146364,95.89119255157351,224.41791113671783,130.48855702350298,282.7789858142343,175.57939732048308,342.18828504333266,225.63255605501038,392.83897499900223,267.54226000558765,433.69060870895686,305.27537891686376,478.4618557981848,344.30512560977223
37944809,95.659000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.63,21.5,22.13,22.5,34.5577806901172,52.775078827315646,110.63513736803158,69.2489648469327,169.67589991108426,95.86816790641288,224.34709558575514,130.48490201204805,282.86042469446147,175.61782599763745,342.1841879286939,225.65179657263013,392.80931037635844,267.5595610940296,433.6843360296117,305.313179853879,478.4152371681652,344.2404805954636
37945010,95.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.63,21.5,22.13,22.5,34.458646261814756,52.79209291446684,110.65956645501343,69.16967297972819,169.67827777010484,95.8977147748619,224.35691360204737,130.5126519112608,282.84594669434773,175.60706519557647,342.16799040268864,225.69243217541478,392.77007581846834,267.5699247333336,433.6628431277503,305.37804154275085,478.39972512468154,344.31573965650324
37945209,96.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.56,21.75,22.13,22.25,34.424578772388735,52.80380515165347,110.65256460111078,69.19637239068201,169.64450424388096,95.93020347730351,224.33626973604527,130.5018871103651,282.8306625415587,175.61527889895504,342.1814965162355,225.71000475681313,392.77872840130965,267.6137239442521,433.6672694113456,305.4005111046415,478.42332894434384,344.3180030699836
37945409,96.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.56,21.75,22.13,22.25,34.40938907365714,52.816664014865474,110.61797242022668,69.20567046544986,169.67344650514033,95.83893374517258,224.40165665882193,130.51736895568075,282.85248533232016,175.6458636193448,342.20788884470846,225.7112483972318,392.80813544382437,267.5908893274883,433.68125759878717,305.3661037405939,478.4370867519214,344.32246627656457
37945609,96.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.5,21.5,22.13,22.25,34.54036517606388,52.781135224135454,110.68889563515876,69.23537681025276,169.67486062974424,95.88962255165197,224.34841875351972,130.5485706785572,282.85275254674053,175.66886198322638,342.1805688497377,225.75177637148815,392.8026725926892,267.59033664682926,433.658627065479,305.37324326282464,478.42425955959663,344.3047691659378
37945809,96.661000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.5,21.5,22.13,22.25,34.56980014976807,52.87443123371099,110.61600040626547,69.28709010452252,169.70807300637625,95.89531717195165,224.3468479622226,130.60452553384957,282.88521539817197,175.69600099376086,342.2060440282846,225.70813712785395,392.8157411293546,267.56907900937045,433.6809890934022,305.32346856809454,478.4654707020805,344.29117380976305
37946009,96.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.5,21.5,22.13,22.25,34.5932936635635,52.892894062152415,110.63090909952766,69.32712545668616,169.61578642836082,95.88852289966502,224.36524958146052,130.6144585538355,282.8854487072815,175.71777176254432,342.1855189501189,225.74006610905238,392.79730020477183,267.58380891837,433.6919810805693,305.32916259884735,478.44177906127976,344.27732574904303
37946209,97.061000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.75,21.5,22.13,22.25,34.5862400103849,52.927723602626955,110.67355770661828,69.41401502060941,169.7173173288681,96.07251964231175,224.42535715876727,130.61592290791785,282.895328210636,175.71965462536457,342.20574967003944,225.7042014465378,392.8346506503382,267.57170685875315,433.70434284866116,305.31397056194464,478.4405762033507,344.259763727772
37946409,97.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.75,21.5,22.13,22.25,34.6035084518298,52.939052214398295,110.63727214809448,69.33372895063238,169.67677612694462,95.8996781802934,224.3634269040131,130.57499854072012,282.8600716269732,175.69776191486687,342.1992016127056,225.67153438259464,392.8339221566568,267.57749002285436,433.6945682679073,305.3236042486877,478.44683723492284,344.2193162952462
37946610,97.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.61556706708049,52.921962868124744,110.64865147671192,69.37280230869519,169.62413604822953,95.88872489643494,224.35313474604717,130.61474700974597,282.8702355439609,175.6817922613632,342.1735044882472,225.68147148825489,392.7880447390376,267.55496136539546,433.67196518261665,305.3110150845599,478.421164778357,344.21277351521866
37946811,97.661000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.59601810361605,52.8682374121571,110.64932585492875,69.30965766794208,169.70098944081255,95.89209964497672,224.34967953717864,130.51334316003644,282.8579140634898,175.63176054407268,342.1948888989796,225.63890412020925,392.81006838097363,267.5591416006449,433.6774319460117,305.29778452678664,478.44253240761265,344.2312647574463
